v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
4141,-76.7216908728688,42.9207537642637,sub_station,,,,,,SRID=4326;POINT(-76.7216908728688 42.9207537642637)
20070,-114.794507582963,35.9796829696805,joint,,,,,,SRID=4326;POINT(-114.794507582963 35.9796829696805)
26019,-112.533723975289,33.7387713142644,joint,,,,,,SRID=4326;POINT(-112.533723975289 33.7387713142644)
28658,-84.7880190035235,35.6021250574814,merge,,,Watts Bar Nuclear Power Plant;Watts Bar Power Station,TVA,,SRID=4326;POINT(-84.7880190035235 35.6021250574814)
9632,-86.881835468375,33.5172757538075,substation,230000;115000,,,,,SRID=4326;POINT(-86.881835468375 33.5172757538075)
26836,-79.7208449909316,40.9983396114493,joint,,,,,,SRID=4326;POINT(-79.7208449909316 40.9983396114493)
532,-122.303113204559,47.6146779077539,substation,,,East Pine Substation,,,SRID=4326;POINT(-122.303113204559 47.6146779077539)
9927,-80.4283715343583,33.9586209703381,sub_station,,,,,,SRID=4326;POINT(-80.4283715343583 33.9586209703381)
18568,-82.5344889248735,38.3595355171977,joint,,,,,,SRID=4326;POINT(-82.5344889248735 38.3595355171977)
8302,-84.4660336597587,33.5619348008423,sub_station,,,,,,SRID=4326;POINT(-84.4660336597587 33.5619348008423)
8339,-83.2408726886651,34.1628702592456,sub_station,,,,,,SRID=4326;POINT(-83.2408726886651 34.1628702592456)
2698,-83.3329737577324,41.6372215843832,station,,,Decant Substation,,,SRID=4326;POINT(-83.3329737577324 41.6372215843832)
16040,-88.2418648629001,41.493417113861,substation,,,,,,SRID=4326;POINT(-88.2418648629001 41.493417113861)
30278,-81.9529584325371,26.696640955611,joint,230000;138000;230000;230000,60,,LCEC,,SRID=4326;POINT(-81.9529584325371 26.696640955611)
1785,-81.416958985154,28.7024442397447,sub_station,,,,Progress Energy,,SRID=4326;POINT(-81.416958985154 28.7024442397447)
233,-87.7856900131053,42.1267357941621,station,,,Northbrook Substation,,,SRID=4326;POINT(-87.7856900131053 42.1267357941621)
23228,-111.909334396208,33.4253465063037,joint,,60,,,,SRID=4326;POINT(-111.909334396208 33.4253465063037)
29989,-119.200520468191,34.326718873973,joint,,,,,,SRID=4326;POINT(-119.200520468191 34.326718873973)
26188,-83.1228280336252,42.2951151048969,joint,,,,,,SRID=4326;POINT(-83.1228280336252 42.2951151048969)
24442,-99.2463940615472,19.3344654962856,joint,230000,60,,,,SRID=4326;POINT(-99.2463940615472 19.3344654962856)
25914,-104.759453595207,40.0258854096856,joint,230000;115000;115000;230000,60,,,,SRID=4326;POINT(-104.759453595207 40.0258854096856)
1732,-87.8763072758791,42.3535208574616,sub_station,,,,,,SRID=4326;POINT(-87.8763072758791 42.3535208574616)
29824,-122.89855752926,49.1618733300178,joint,,,,,,SRID=4326;POINT(-122.89855752926 49.1618733300178)
28703,-80.3030733107804,35.9363127097736,merge,,,,,,SRID=4326;POINT(-80.3030733107804 35.9363127097736)
29042,-112.153550184213,33.4420554474523,merge,,,,Arizona Public Service Company,,SRID=4326;POINT(-112.153550184213 33.4420554474523)
25054,-96.6303990733847,43.5295147627554,joint,,,,,,SRID=4326;POINT(-96.6303990733847 43.5295147627554)
23921,-93.2932151053958,44.2327035609227,joint,,,,,,SRID=4326;POINT(-93.2932151053958 44.2327035609227)
18531,-82.144131228388,38.4059298826003,joint,,,,,,SRID=4326;POINT(-82.144131228388 38.4059298826003)
21301,-82.9288860756971,36.3686688088136,joint,500000,,500kV transmission line,TVA,,SRID=4326;POINT(-82.9288860756971 36.3686688088136)
10242,-91.0036438110179,30.5673450402288,station,,,,,,SRID=4326;POINT(-91.0036438110179 30.5673450402288)
22190,-65.611352225493,45.6906123155282,joint,,,,,,SRID=4326;POINT(-65.611352225493 45.6906123155282)
17963,-66.6206073810762,46.1830037783042,sub_station,,,,,,SRID=4326;POINT(-66.6206073810762 46.1830037783042)
9000,-97.5669051161444,35.4597226179572,sub_station,,,,,,SRID=4326;POINT(-97.5669051161444 35.4597226179572)
6877,-123.155735050508,49.792029765456,station,500000,,Cheekye Substation,BC Hydro,CKY,SRID=4326;POINT(-123.155735050508 49.792029765456)
7085,-117.230909654284,40.8196437066065,sub_station,,,,,,SRID=4326;POINT(-117.230909654284 40.8196437066065)
23319,-101.747913319456,35.2919557038836,joint,230000,60,,,,SRID=4326;POINT(-101.747913319456 35.2919557038836)
30738,-121.966058907059,37.5057710424973,joint,230000,60,,Pacific Gas & Electric Co.,Los Esteros-Metcalf,SRID=4326;POINT(-121.966058907059 37.5057710424973)
11973,-85.7000584484423,30.2698826649196,substation,230000;115000;12000,60,Smith Substation,Gulf Power,,SRID=4326;POINT(-85.7000584484423 30.2698826649196)
21072,-66.3956236893477,48.0448056611782,joint,,,,,,SRID=4326;POINT(-66.3956236893477 48.0448056611782)
4073,-98.9046176536256,19.5072051333019,station,,,,,,SRID=4326;POINT(-98.9046176536256 19.5072051333019)
7026,-79.7218796530293,36.1583412657878,substation,,,,,,SRID=4326;POINT(-79.7218796530293 36.1583412657878)
9015,-79.1907687278269,41.8359384226292,sub_station,,,Wayne Substation,,,SRID=4326;POINT(-79.1907687278269 41.8359384226292)
10231,-90.8170302598215,29.819423533024,substation,230000,,Thibodaux Substation,Entergy Louisiana,,SRID=4326;POINT(-90.8170302598215 29.819423533024)
19650,-115.687816286509,32.6467905056332,joint,230000,,,,,SRID=4326;POINT(-115.687816286509 32.6467905056332)
6771,-84.1779999655285,33.9407345989571,sub_station,,,,,,SRID=4326;POINT(-84.1779999655285 33.9407345989571)
17150,-92.7350660042169,38.9575271993307,substation,,,,,,SRID=4326;POINT(-92.7350660042169 38.9575271993307)
11103,-87.2882374459284,31.0111686631655,sub_station,,,,,,SRID=4326;POINT(-87.2882374459284 31.0111686631655)
19998,-66.6210258163355,46.0797698968886,joint,230000,,,NB Power,2145,SRID=4326;POINT(-66.6210258163355 46.0797698968886)
8970,-75.9823514976132,42.1369387283416,sub_station,,,Oakdale Substation,,,SRID=4326;POINT(-75.9823514976132 42.1369387283416)
24886,-61.0815966866681,45.963545160838,joint,,,,,,SRID=4326;POINT(-61.0815966866681 45.963545160838)
1092,-95.1234714842936,29.8366478634466,substation,345000,60,Channelview Cogen,,CV,SRID=4326;POINT(-95.1234714842936 29.8366478634466)
18618,-87.5287949178147,37.277293012547,joint,,,,,,SRID=4326;POINT(-87.5287949178147 37.277293012547)
2530,-87.4745426008769,41.6123653962716,station,,,,,,SRID=4326;POINT(-87.4745426008769 41.6123653962716)
2649,-114.347381025712,32.8678715078376,substation,,,,,,SRID=4326;POINT(-114.347381025712 32.8678715078376)
20748,-70.7667494152426,46.2109373891056,joint,,,,,,SRID=4326;POINT(-70.7667494152426 46.2109373891056)
22702,-98.335094528311,40.4054927880251,joint,115000;345000;115000;345000,60,,,,SRID=4326;POINT(-98.335094528311 40.4054927880251)
27862,-104.780121314612,39.5078108116153,joint,,,,,,SRID=4326;POINT(-104.780121314612 39.5078108116153)
15881,-81.4057006067533,39.340284306098,substation,,,,,,SRID=4326;POINT(-81.4057006067533 39.340284306098)
23411,-86.3972512941206,43.4009668795974,joint,,,,,,SRID=4326;POINT(-86.3972512941206 43.4009668795974)
8312,-83.8873680920957,33.6626750188032,sub_station,,,,,,SRID=4326;POINT(-83.8873680920957 33.6626750188032)
982,-86.0524590754905,39.7139190692692,substation,,,Hanna Substation,Indianapolis Power & Light,,SRID=4326;POINT(-86.0524590754905 39.7139190692692)
23493,-84.6237206339181,33.8688675972769,joint,,,,,,SRID=4326;POINT(-84.6237206339181 33.8688675972769)
24869,-96.6524687036219,34.7670470564934,joint,,,,,,SRID=4326;POINT(-96.6524687036219 34.7670470564934)
